Title	Author	Year	Movement	Rank	Other Movements
Gulliver's Travels	Jonathan Swift	1726	Neoclassicism / Augustan	1	
The Rape of the Lock	Alexander Pope	1712	Neoclassicism / Augustan	2	
An Essay on Criticism	Alexander Pope	1711	Neoclassicism / Augustan	3	
A Modest Proposal	Jonathan Swift	1729	Neoclassicism / Augustan	4	
The Dunciad	Alexander Pope	1728	Neoclassicism / Augustan	5	
An Essay on Man	Alexander Pope	1733	Neoclassicism / Augustan	6	
Phèdre	Jean Racine	1677	Neoclassicism / Augustan	7	
Tartuffe	Molière	1664	Neoclassicism / Augustan	8	
The Misanthrope	Molière	1666	Neoclassicism / Augustan	9	
Absalom and Achitophel	John Dryden	1681	Neoclassicism / Augustan	10	
L'Art poétique	Nicolas Boileau	1674	Neoclassicism / Augustan	11	
A Tale of a Tub	Jonathan Swift	1704	Neoclassicism / Augustan	12	
An Essay of Dramatic Poesy	John Dryden	1668	Neoclassicism / Augustan	13	
The Way of the World	William Congreve	1700	Neoclassicism / Augustan	14	
Le Cid	Pierre Corneille	1637	Neoclassicism / Augustan	15	
Candide	Voltaire	1759	Neoclassicism / Augustan	16	
Robinson Crusoe	Daniel Defoe	1719	Neoclassicism / Augustan	17	
Tom Jones	Henry Fielding	1749	Neoclassicism / Augustan	18	
Clarissa	Samuel Richardson	1748	Neoclassicism / Augustan	19	
Pamela	Samuel Richardson	1740	Neoclassicism / Augustan	20	
A Dictionary of the English Language	Samuel Johnson	1755	Neoclassicism / Augustan	21	
Rasselas	Samuel Johnson	1759	Neoclassicism / Augustan	22	
The Vanity of Human Wishes	Samuel Johnson	1749	Neoclassicism / Augustan	23	
The Beggar's Opera	John Gay	1728	Neoclassicism / Augustan	24	
The Spectator	Joseph Addison and Richard Steele	1711	Neoclassicism / Augustan	25	
Mac Flecknoe	John Dryden	1682	Neoclassicism / Augustan	26	
Fables	Jean de La Fontaine	1668	Neoclassicism / Augustan	27	
Les Maximes	François de La Rochefoucauld	1665	Neoclassicism / Augustan	28	
Andromaque	Jean Racine	1667	Neoclassicism / Augustan	29	
Britannicus	Jean Racine	1669	Neoclassicism / Augustan	30	
The School for Wives	Molière	1662	Neoclassicism / Augustan	31	
Dom Juan	Molière	1665	Neoclassicism / Augustan	32	
The Imaginary Invalid	Molière	1673	Neoclassicism / Augustan	33	
