Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5890,The Woman in White,Wilkie Collins,"Collins, Wilkie",Matthew Sweet,"=""""","=""""",0,Penguin Classics,Paperback,672,2003,1859,,2026/07/30,currently-reading,currently-reading (#7),currently-reading,,,,1,0
243042929,"Cool Machine (The Harlem Trilogy, #3)",Colson Whitehead,"Whitehead, Colson",,"=""0385550502""","=""9780385550505""",5.0,Doubleday,Hardcover,368,2026,2026,2026/07/29,2026/07/26,,,read,,,,1,0
41733839,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Jesmyn Ward,"=""""","=""""",5.0,Scribner,Paperback,180,2018,1925,2026/07/24,2026/07/24,,,read,,,,1,0
61713802,City of Dreams (Danny Ryan #2),Don Winslow,"Winslow, Don",,"=""0062851233""","=""9780062851239""",4.0,William Morrow,Hardcover,352,2023,2023,2026/07/23,2026/07/22,,,read,,,,1,0
57558287,"City on Fire (Danny Ryan, #1)",Don Winslow,"Winslow, Don",,"=""0062851195""","=""9780062851192""",4.0,William Morrow,Hardcover,384,2022,2021,2026/07/15,2026/07/15,,,read,,,,1,0
206236,"The Power of the Dog (Power of the Dog, #1)",Don Winslow,"Winslow, Don",,"=""1400096936""","=""9781400096930""",5.0,Vintage Crime/Black Lizard,Paperback,542,2006,2005,2026/07/13,2026/07/13,,,read,,,,1,0
243772777,"Ironwood (Catalina, #2; Harry Bosch Universe, #42)",Michael Connelly,"Connelly, Michael",,"=""0316595381""","=""9780316595384""",3.0,"Little, Brown and Company",Hardcover,327,2026,2026,2026/07/10,2026/07/13,,,read,,,,1,0
235134618,Habitat,Theis Ørntoft,"Ørntoft, Theis",,"=""870241175X""","=""9788702411751""",0,Gyldendal,ebook,580,2025,2025,,2026/07/03,currently-reading,currently-reading (#6),currently-reading,,,,1,0
29875918,Six Four,Hideo Yokoyama,"Yokoyama, Hideo",Jonathan Lloyd-Davies,"=""0374265518""","=""9780374265519""",4.0,"Farrar, Straus and Giroux",Hardcover,576,2017,2012,2026/07/03,2026/07/03,,,read,,,,1,0
125321,"Barchester Towers (Chronicles of Barsetshire, #2)",Anthony Trollope,"Trollope, Anthony",,"=""1406923044""","=""9781406923049""",0,Oxford University Press,Paperback,418,2006,1857,,2026/05/15,currently-reading,currently-reading (#5),currently-reading,,,,1,0
267123,"The Warden (Chronicles of Barsetshire, #1)",Anthony Trollope,"Trollope, Anthony","Edward Ardizzone, David Skilton","=""0192834088""","=""9780192834089""",4.0,Oxford University Press,Paperback,336,1998,1855,2026/05/14,2026/05/10,,,read,,,,1,0
50827,Dombey and Son,Charles Dickens,"Dickens, Charles",Jonathan Lethem,"=""0812967437""","=""9780812967432""",0,Modern Library,Paperback,880,2003,1848,,2026/04/25,currently-reading,currently-reading (#4),currently-reading,,,,1,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",,"=""0141439602""","=""9780141439600""",5.0,Penguin Books,Paperback,489,2003,1859,2026/04/21,2026/04/17,,,read,,,,1,0
31250,Little Dorrit,Charles Dickens,"Dickens, Charles","Stephen J. Wall, Helen Small","=""""","=""""",5.0,Penguin Classics,Paperback,860,2003,1857,2026/04/13,2026/03/12,,,read,,,,1,0
