Title,Author,Publisher
25 Erzählungen (German Edition),Franz Kafka,
"A Corpse in the Koryo (Inspector O, Book 1)",James Church,
"A Murder of Quality (George Smiley, Book 2)",John le Carré,
A Strangeness in My Mind,Orhan Pamuk,
Alias Grace,Margaret Atwood,
Anything Is Possible,Elizabeth Strout,
Before the Fall,Noah Hawley,
"Bitter Wash Road (Paul Hirsch, Book 1)",Garry Disher,
"Black Diamond (The Dordogne Mysteries, Book 3)",Martin Walker,
"Call for the Dead (George Smiley, Book 1)",John le Carré,
Camino Island,John Grisham,
Caught,Harlan Coben,
Conclave,Robert Harris,
"Cover Her Face (Adam Dalgliesh, Book 1)",P. D. James,
"Crossbones (Past Imperfect Trilogy, Book 3)",Nuruddin Farah,
"Dark Sacred Night (Renée Ballard, Book 2)",Michael Connelly,
"Dark Vineyard (The Dordogne Mysteries, Book 2)",Martin Walker,
David Copperfield,Charles Dickens,
"Dead Lions (Slough House, Book 2)",Mick Herron,
"Death Comes to Marlow (The Marlow Murder Club, Book 2)",Robert Thorogood,
"Death in Brittany (Brittany Mystery Series, Book 1)",Jean-Luc Bannalec,
Death of an Author,E. C. R. Lorac,
Death on the Installment Plan,Louis-Ferdinand Céline,
"Death Undercover (The Dordogne Mysteries, Book 7)",Martin Walker,
Er ist wieder da: Der Roman (German Edition),Timur Vermes,Bastei Lübbe
Fool Me Once,Harlan Coben,
Gone for Good,Harlan Coben,
"Gorky Park (Arkady Renko, Book 1)",Martin Cruz Smith,
Great Expectations,Charles Dickens,
"Harlem Shuffle (The Harlem Trilogy, Book 1)",Colson Whitehead,
"Heaven's Prisoners (Dave Robicheaux, Book 2)",James Lee Burke,
His Bloody Project,Graeme Macrae Burnet,
I Could Murder Her,E. C. R. Lorac,
"Imperium (Cicero Trilogy, Book 1)",Robert Harris,
"In the Woods (Dublin Murder Squad, Book 1)",Tana French,
Ironwood,Michael Connelly,
Just One Look,Harlan Coben,
"Kittyhawk Down (Challis & Destry, Book 2)",Garry Disher,
Leutnant Gustl (German Edition),Arthur Schnitzler,
"Links (Past Imperfect Trilogy, Book 1)",Nuruddin Farah,
Mason & Dixon,Thomas Pynchon,
Missing You,Harlan Coben,
Mrs. Dalloway,Virginia Woolf,
My Name Is Lucy Barton,Elizabeth Strout,
Never,Ken Follett,
Nightfall in Mogadishu,Veronica Li,
Nightshade,Michael Connelly,
No Second Chance,Harlan Coben,
North and South,Elizabeth Gaskell,
Our Mutual Friend,Charles Dickens,Penguin Classics
"Outline (Outline Trilogy, Book 1)",Rachel Cusk,
"Peace (Paul Hirsch, Book 2)",Garry Disher,
Perfection,Vincenzo Latronico,
Pietr the Latvian (Inspector Maigret),Georges Simenon,Penguin Classics
Pride and Prejudice,Jane Austen,
Radetzkymarsch (German Edition),Joseph Roth,
"Real Tigers (Slough House, Book 3)",Mick Herron,
Run Away,Harlan Coben,
Six Years,Harlan Coben,
Slaughterhouse-Five,Kurt Vonnegut,
"Slow Horses (Slough House, Book 1)",Mick Herron,
Small Boat,Vincent Delecroix,
Song of Solomon,Toni Morrison,
"Spook Street (Slough House, Book 4)",Mick Herron,
The Anomaly,Hervé Le Tellier,
The Appeal,Janice Hallett,
The Big Sleep,Raymond Chandler,
"The Black Box (Harry Bosch, Book 16)",Michael Connelly,
"The Black Dahlia (L.A. Quartet, Book 1)",James Ellroy,
"The Blackhouse (The Lewis Trilogy, Book 1)",Peter May,
