title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes,format
25 Erzählungen (German Edition),Franz Kafka,1919,German,German,,,Modernist / early 20th century,Modernism,,Short stories,ebook
"A Corpse in the Koryo (Inspector O, Book 1)",James Church,2006,English,English,,,Contemporary,Crime fiction,,,ebook
"A Murder of Quality (George Smiley, Book 2)",John le Carré,1962,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
A Strangeness in My Mind,Orhan Pamuk,2014,Turkish,English,,,Contemporary,Contemporary literary fiction,,,ebook
Alias Grace,Margaret Atwood,1996,English,English,,,Postwar / late 20th century,Postmodernism,,Historical metafiction,ebook
Anything Is Possible,Elizabeth Strout,2017,English,English,,,Contemporary,Contemporary literary fiction,,,ebook
Before the Fall,Noah Hawley,2016,English,English,,,Contemporary,Crime fiction,,,ebook
"Bitter Wash Road (Paul Hirsch, Book 1)",Garry Disher,2013,English,English,,,Contemporary,Crime fiction,,,ebook
"Black Diamond (The Dordogne Mysteries, Book 3)",Martin Walker,2010,English,English,,,Contemporary,Crime fiction,,,ebook
"Call for the Dead (George Smiley, Book 1)",John le Carré,1961,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
Camino Island,John Grisham,2017,English,English,,,Contemporary,Crime fiction,,,ebook
Caught,Harlan Coben,2010,English,English,,,Contemporary,Crime fiction,,,ebook
Conclave,Robert Harris,2016,English,English,,,Contemporary,Crime fiction,,,ebook
"Cover Her Face (Adam Dalgliesh, Book 1)",P. D. James,1962,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
"Crossbones (Past Imperfect Trilogy, Book 3)",Nuruddin Farah,2011,English,English,,,Contemporary,Postcolonial literature,,,ebook
"Dark Sacred Night (Renée Ballard, Book 2)",Michael Connelly,2018,English,English,,,Contemporary,Crime fiction,,,ebook
"Dark Vineyard (The Dordogne Mysteries, Book 2)",Martin Walker,2009,English,English,,,Contemporary,Crime fiction,,,ebook
David Copperfield,Charles Dickens,1850,English,English,,,Victorian / 19th century,Realism,,,ebook
"Dead Lions (Slough House, Book 2)",Mick Herron,2013,English,English,,,Contemporary,Crime fiction,,,ebook
"Death Comes to Marlow (The Marlow Murder Club, Book 2)",Robert Thorogood,2023,English,English,,,Contemporary,Crime fiction,,,ebook
"Death in Brittany (Brittany Mystery Series, Book 1)",Jean-Luc Bannalec,2012,German,English,,,Contemporary,Crime fiction,,,ebook
Death of an Author,E. C. R. Lorac,1935,English,English,,,Modernist / early 20th century,Crime fiction,,,ebook
Death on the Installment Plan,Louis-Ferdinand Céline,1936,French,English,,,Modernist / early 20th century,Modernism,,,ebook
"Death Undercover (The Dordogne Mysteries, Book 7)",Martin Walker,2015,English,English,,,Contemporary,Crime fiction,,,ebook
Er ist wieder da: Der Roman (German Edition),Timur Vermes,2012,German,German,Bastei Lübbe,,Contemporary,Satire,,,ebook
Fool Me Once,Harlan Coben,2016,English,English,,,Contemporary,Crime fiction,,,ebook
Gone for Good,Harlan Coben,2002,English,English,,,Contemporary,Crime fiction,,,ebook
"Gorky Park (Arkady Renko, Book 1)",Martin Cruz Smith,1981,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
