title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes
Ikke mennesker jeg kan regne med,Kyrre Andreassen,2010,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
Alias Grace,Margaret Atwood,1996,English,Norwegian,,,Postwar / late 20th century,Postmodernism,,Historical metafiction
Heretter følger jeg deg helt hjem,Kjell Askildsen,1953,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,Minimalism,,Short stories
Kulisser,Kjell Askildsen,1976,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,Minimalism,,
"Inés, jeg elsker deg! (Inés of My Soul)",Isabel Allende,2006,Spanish,Norwegian,,,Contemporary,Magical realism,,
Dottern,Lena Andersson,2020,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Sveas son,Lena Andersson,2023,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Koryféerna,Lena Andersson,2019,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Uten personlig ansvar,Lena Andersson,2014,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Jeg er egentlig ikke sånn,Marie Aubert,2016,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
Sabina,Karsten Alnæs,1994,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,Historical novel
Travels in the Scriptorium,Paul Auster,2006,English,English,,,Contemporary,Postmodernism,Metafiction,
Oracle Night,Paul Auster,2003,English,English,,,Contemporary,Postmodernism,Metafiction,
Things Fall Apart,Chinua Achebe,1958,English,English,Everyman's Library,The African Trilogy,Postwar / late 20th century,Postcolonial literature,,
No Longer at Ease,Chinua Achebe,1960,English,English,Everyman's Library,The African Trilogy,Postwar / late 20th century,Postcolonial literature,,
Arrow of God,Chinua Achebe,1964,English,English,Everyman's Library,The African Trilogy,Postwar / late 20th century,Postcolonial literature,,
Sanditon,Jane Austen,1817,English,English,,,Romantic,Realism,,Unfinished
Mansfield Park,Jane Austen,1814,English,English,Chiltern Publishing,,Romantic,Realism,,
Sense and Sensibility,Jane Austen,1811,English,English,Chiltern Publishing,,Romantic,Realism,,
Persuasion,Jane Austen,1817,English,English,Chiltern Publishing,,Romantic,Realism,,
Pride and Prejudice,Jane Austen,1813,English,English,Chiltern Publishing,,Romantic,Realism,,
Northanger Abbey,Jane Austen,1817,English,English,Chiltern Publishing,,Romantic,Realism,Gothic,Gothic parody
Emma,Jane Austen,1815,English,English,Chiltern Publishing,,Romantic,Realism,,
Little Women,Louisa May Alcott,1868,English,English,,,Victorian / 19th century,Realism,,
Jane Eyre,Charlotte Brontë,1847,English,English,,Brontë box set,Victorian / 19th century,Gothic,Romanticism,
Jane Eyre,Charlotte Brontë,1847,English,English,Chiltern Publishing,,Victorian / 19th century,Gothic,Romanticism,
Shirley,Charlotte Brontë,1849,English,English,,Brontë box set,Victorian / 19th century,Realism,,
Villette,Charlotte Brontë,1853,English,English,,Brontë box set,Victorian / 19th century,Realism,Gothic,
Villette,Charlotte Brontë,1853,English,English,Everyman's Library,,Victorian / 19th century,Realism,Gothic,
The Professor,Charlotte Brontë,1857,English,English,,Brontë box set,Victorian / 19th century,Realism,,
Wuthering Heights,Emily Brontë,1847,English,English,,Brontë box set,Victorian / 19th century,Gothic,Romanticism,
Wuthering Heights,Emily Brontë,1847,English,English,Chiltern Publishing,,Victorian / 19th century,Gothic,Romanticism,
Agnes Grey,Anne Brontë,1847,English,English,,Brontë box set,Victorian / 19th century,Realism,,
The Tenant of Wildfell Hall,Anne Brontë,1848,English,English,,Brontë box set,Victorian / 19th century,Realism,,
The Tenant of Wildfell Hall,Anne Brontë,1848,English,English,Chiltern Publishing,,Victorian / 19th century,Realism,,
"Gesammelte Werke: Essays, Band I",Hermann Broch,1955,German,German,,,Modernist / early 20th century,Modernism,,Essays (nonfiction)
Søvngjengerne I: Pasenow eller romantikken (1888),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
Søvngjengerne II: Esch eller anarkiet (1903),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
Søvngjengerne III: Huguenau eller sakligheten (1918),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
Blikktrommen,Günter Grass,1959,German,Norwegian,,,Postwar / late 20th century,Magical realism,Postmodernism,The Tin Drum
Mitt århundre,Günter Grass,1999,German,Norwegian,,,Postwar / late 20th century,Postmodernism,,My Century
North and South,Elizabeth Gaskell,1855,English,English,Chiltern Publishing,,Victorian / 19th century,Realism,,
Cranford,Elizabeth Gaskell,1853,English,English,Chiltern Publishing,,Victorian / 19th century,Realism,,
Brave New World,Aldous Huxley,1932,English,English,Everyman's Library,,Modernist / early 20th century,Modernism,,Dystopian
Slåttekar i himmelen,Edvard Hoem,2014,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,Emigrant saga
Land ingen har sett,Edvard Hoem,2016,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,Emigrant saga
Felemakaren,Edvard Hoem,1988,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,Contemporary literary fiction,,
Jordmor på jorda,Edvard Hoem,2020,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
Bror din på prærien,Edvard Hoem,2015,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,Emigrant saga
Liv andre har levd,Edvard Hoem,2017,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,Emigrant saga
Husjomfru,Edvard Hoem,2021,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
The Adventures of Augie March,Saul Bellow,1953,English,English,Everyman's Library,,Postwar / late 20th century,Realism,,
The Master and Margarita,Mikhail Bulgakov,1966,Russian,English,Everyman's Library,,Modernist / early 20th century,Magical realism,Surrealism,
If on a Winter's Night a Traveler,Italo Calvino,1979,Italian,English,Everyman's Library,,Postwar / late 20th century,Postmodernism,Metafiction,
Molloy,Samuel Beckett,1951,French,English,Everyman's Library,The Trilogy,Postwar / late 20th century,Modernism,,
Malone Dies,Samuel Beckett,1951,French,English,Everyman's Library,The Trilogy,Postwar / late 20th century,Modernism,,
The Unnamable,Samuel Beckett,1953,French,English,Everyman's Library,The Trilogy,Postwar / late 20th century,Modernism,,
The Woman in White,Wilkie Collins,1859,English,English,Vintage Classics,,Victorian / 19th century,Gothic,Realism,Sensation novel
Reisen til nattens ende,Louis-Ferdinand Céline,1932,French,Norwegian,,,Modernist / early 20th century,Modernism,,Journey to the End of the Night
Alice's Adventures in Wonderland,Lewis Carroll,1865,English,English,Puffin,,Victorian / 19th century,,,Nonsense literature; no movement label
De besatte,Fjodor Dostojevskij,1872,Russian,Norwegian,Solum,,Victorian / 19th century,Realism,,Demons
Idioten,Fjodor Dostojevskij,1869,Russian,Norwegian,Solum,,Victorian / 19th century,Realism,,The Idiot
Gamle mestere,Thomas Bernhard,1985,German,Norwegian,,,Postwar / late 20th century,Modernism,,"Old Masters; leftmost spine, title uncertain"
Utslettelse,Thomas Bernhard,1986,German,Norwegian,,,Postwar / late 20th century,Modernism,,Extinction
Werke 7,Thomas Bernhard,2004,German,German,Suhrkamp,,Postwar / late 20th century,Modernism,,Collected works
Werke 8,Thomas Bernhard,2004,German,German,Suhrkamp,,Postwar / late 20th century,Modernism,,Collected works
Werke 10,Thomas Bernhard,2004,German,German,Suhrkamp,,Postwar / late 20th century,Modernism,,Collected works
Om utregning av romfang 1,Solvej Balle,2020,Danish,Norwegian,Press,,Contemporary,Contemporary literary fiction,,On the Calculation of Volume
Om utregning av romfang 2,Solvej Balle,2020,Danish,Norwegian,Press,,Contemporary,Contemporary literary fiction,,
Om utregning av romfang 3,Solvej Balle,2021,Danish,Norwegian,Press,,Contemporary,Contemporary literary fiction,,
Om utregning av romfang 4,Solvej Balle,2022,Danish,Norwegian,Press,,Contemporary,Contemporary literary fiction,,
Om utregning av romfang 5,Solvej Balle,2023,Danish,Norwegian,Press,,Contemporary,Contemporary literary fiction,,
Elizabeth Finch,Julian Barnes,2022,English,English,,,Contemporary,Contemporary literary fiction,,
Père Goriot,Honoré de Balzac,1835,French,English,The Franklin Library,,Victorian / 19th century,Realism,,
Humboldts gave,Saul Bellow,1975,English,Norwegian,,,Postwar / late 20th century,Realism,,Humboldt's Gift
Frihet,Jonathan Franzen,2010,English,Norwegian,,,Contemporary,Contemporary literary fiction,,Freedom
Korrigeringer,Jonathan Franzen,2001,English,Norwegian,,,Contemporary,Contemporary literary fiction,,The Corrections
Det andre namnet,Jon Fosse,2019,Norwegian,Norwegian,Det Norske Samlaget,,Contemporary,Contemporary literary fiction,Stream of consciousness,Septology I-II
Eg er ein annan,Jon Fosse,2020,Norwegian,Norwegian,Det Norske Samlaget,,Contemporary,Contemporary literary fiction,Stream of consciousness,Septology III-V
Eit nytt namn,Jon Fosse,2021,Norwegian,Norwegian,Det Norske Samlaget,,Contemporary,Contemporary literary fiction,Stream of consciousness,Septology VI-VII
Vaim,Jon Fosse,2019,Norwegian,Norwegian,Det Norske Samlaget,,Contemporary,Contemporary literary fiction,,Poetry
Trilogien,Jon Fosse,2014,Norwegian,Norwegian,Det Norske Samlaget,,Contemporary,Contemporary literary fiction,,Trilogy
Fyr og flamme,Kjartan Fløgstad,1980,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Contemporary literary fiction,,
Det 7. klima,Kjartan Fløgstad,1986,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Contemporary literary fiction,,
Habeas Corpus,Kjartan Fløgstad,2009,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
Dalen Portland,Kjartan Fløgstad,1977,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Contemporary literary fiction,Magical realism,
