Title,Author,Publisher,Year
"Aske i munnen, sand i skoa",Per Petterson,Forlaget Oktober,1987
Balansekunst,Rohinton Mistry,Aschehoug,1995
Beretningen om herr Roos,Håkan Nesser,Gyldendal,2008
Berge,Jan Kjærstad,Aschehoug,2017
Blod på snø,Jo Nesbø,Aschehoug,2015
Blomsterdalen,Niviaq Korneliussen,Gyldendal,2020
"Daghus, natthus",Olga Tokarczuk,Gyldendal,1998
De ensomme,Håkan Nesser,Gyldendal,2010
Dei sju dørene,Agnes Ravatn,Samlaget,2019
Den som frykter ulven,Karin Fossum,Cappelen Damm,1997
Den stille uke,Sven Petter Næss,Aschehoug,2019
Doggerland,Agnes Ravatn,Samlaget,2025
Døden ved vann,Torkil Damhaug,Cappelen Damm,2008
Egne barn,Trude Marstein,Gyldendal,2022
Ekkoland,Per Petterson,Forlaget Oktober,1989
Emily forever,Maria Navarro Skaranger,Forlaget Oktober,2021
En helt annen historie,Håkan Nesser,Gyldendal,2007
En moderne familie,Helga Flatland,Aschehoug,2017
Et liv forbi,Helga Flatland,Aschehoug,2020
Etterklang,Helga Flatland,Aschehoug,2022
Evas øye,Karin Fossum,Cappelen Damm,1995
Hendelser ved vann,Kerstin Ekman,Aschehoug,1993
Hvem drepte faren min,Édouard Louis,Aschehoug,2018
Idioten,Fjodor Dostojevskij,Solum,1869
Jeg plystrer i den mørke vinden,Maria Navarro Skaranger,Forlaget Oktober,2023
Kain,José Saramago,Cappelen Damm,2009
Kameleonene,Jørgen Jæger,Capitana,2004
Kirurgen,Ida Hegazi Høyer,Tiden,2022
Menneske uten hund,Håkan Nesser,Gyldendal,2006
Nei og atter nei,Nina Lykke,Forlaget Oktober,2016
Norsk sokkel,Heidi Linde,Gyldendal,2015
Når isen brister,Camilla Grebe,Gyldendal,2015
Rand,Jan Kjærstad,Aschehoug,1990
Rettsstridig forføyning,Lena Andersson,Gyldendal,2013
Sauda! Streik!,Tor Obrestad,Gyldendal,1972
Se deg ikke tilbake!,Karin Fossum,Cappelen Damm,1996
Se på meg,Kirsten Hammann,Gyldendal,2011
Sjakk under vulkanen,Håkan Nesser,Gyldendal,2017
Skjebnesteinen,Sven Petter Næss,Aschehoug,2020
Skyggejakten,Jørgen Jæger,Capitana,2003
Sneen var ren,Hans Olav Lahlum,Cappelen Damm,2021
Spilleren,Fjodor Dostojevskij,Solum,1866
Stoner,John Williams,Cappelen Damm,1965
Søskenmysteriene,Hans Olav Lahlum,Cappelen Damm,2022
Søsterklokkene,Lars Mytting,Gyldendal,2018
Terapeuten,Helene Flood,Aschehoug,2019
Trilogien,Jon Fosse,Samlaget,2014
Ut og stjæle hester,Per Petterson,Forlaget Oktober,2003
Vingebelastning,Helga Flatland,Aschehoug,2015
Vinterild,Anders de la Motte,Aschehoug,2018
Voksne mennesker,Marie Aubert,Forlaget Oktober,2019
Våroffer,Anders de la Motte,Aschehoug,2020
Årene,Annie Ernaux,Gyldendal,2008
