title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes,format
"Aske i munnen, sand i skoa",Per Petterson,1987,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,,,,ebook
Balansekunst,Rohinton Mistry,1995,English,Norwegian,Aschehoug,,Postwar / late 20th century,Postcolonial literature,,,ebook
Beretningen om herr Roos,Håkan Nesser,2008,Swedish,Norwegian,Gyldendal,,Contemporary,Crime fiction,,,ebook
Berge,Jan Kjærstad,2017,Norwegian,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,,ebook
Blod på snø,Jo Nesbø,2015,Norwegian,Norwegian,Aschehoug,,Contemporary,Crime fiction,,,ebook
Blomsterdalen,Niviaq Korneliussen,2020,Danish,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,,ebook
"Daghus, natthus",Olga Tokarczuk,1998,Polish,Norwegian,Gyldendal,,Postwar / late 20th century,,,,ebook
De ensomme,Håkan Nesser,2010,Swedish,Norwegian,Gyldendal,,Contemporary,Crime fiction,,,ebook
Dei sju dørene,Agnes Ravatn,2019,Norwegian,Norwegian,Samlaget,,Contemporary,Crime fiction,,,ebook
Den som frykter ulven,Karin Fossum,1997,Norwegian,Norwegian,Cappelen Damm,,Postwar / late 20th century,Crime fiction,,,ebook
Den stille uke,Sven Petter Næss,2019,Norwegian,Norwegian,Aschehoug,,Contemporary,Crime fiction,,,ebook
Doggerland,Agnes Ravatn,2025,Norwegian,Norwegian,Samlaget,,Contemporary,Crime fiction,,,ebook
Døden ved vann,Torkil Damhaug,2008,Norwegian,Norwegian,Cappelen Damm,,Contemporary,Crime fiction,,,ebook
Egne barn,Trude Marstein,2022,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,,ebook
Ekkoland,Per Petterson,1989,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,,,,ebook
Emily forever,Maria Navarro Skaranger,2021,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,,ebook
En helt annen historie,Håkan Nesser,2007,Swedish,Norwegian,Gyldendal,,Contemporary,Crime fiction,,,ebook
