title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes
Ikke mennesker jeg kan regne med,Kyrre Andreassen,2010,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
Alias Grace,Margaret Atwood,1996,English,Norwegian,,,Postwar / late 20th century,Postmodernism,,Historical metafiction
Heretter følger jeg deg helt hjem,Kjell Askildsen,1953,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,Minimalism,,Short stories
Kulisser,Kjell Askildsen,1976,Norwegian,Norwegian,Forlaget Oktober,,Postwar / late 20th century,Minimalism,,
"Inés, jeg elsker deg! (Inés of My Soul)",Isabel Allende,2006,Spanish,Norwegian,,,Contemporary,Magical realism,,
Dottern,Lena Andersson,2020,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Sveas son,Lena Andersson,2023,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Koryféerna,Lena Andersson,2019,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Uten personlig ansvar,Lena Andersson,2014,Swedish,Norwegian,Pelikanen,,Contemporary,Contemporary literary fiction,,
Jeg er egentlig ikke sånn,Marie Aubert,2016,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
Sabina,Karsten Alnæs,1994,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,Historical novel
Travels in the Scriptorium,Paul Auster,2006,English,English,,,Contemporary,Postmodernism,Metafiction,
Oracle Night,Paul Auster,2003,English,English,,,Contemporary,Postmodernism,Metafiction,
The African Trilogy,Chinua Achebe,1958,English,English,Everyman's Library,,Postwar / late 20th century,Postcolonial literature,,Things Fall Apart / No Longer at Ease / Arrow of God
Sanditon,Jane Austen,1817,English,English,,,Romantic,Realism,,Unfinished
Mansfield Park,Jane Austen,1814,English,English,Chiltern Publishing,,Romantic,Realism,,
Sense and Sensibility,Jane Austen,1811,English,English,Chiltern Publishing,,Romantic,Realism,,
Persuasion,Jane Austen,1817,English,English,Chiltern Publishing,,Romantic,Realism,,
Pride and Prejudice,Jane Austen,1813,English,English,Chiltern Publishing,,Romantic,Realism,,
Northanger Abbey,Jane Austen,1817,English,English,Chiltern Publishing,,Romantic,Realism,Gothic,Gothic parody
Emma,Jane Austen,1815,English,English,Chiltern Publishing,,Romantic,Realism,,
Little Women,Louisa May Alcott,1868,English,English,,,Victorian / 19th century,Realism,,
Jane Eyre,Charlotte Brontë,1847,English,English,,Brontë box set,Victorian / 19th century,Gothic,Romanticism,
Jane Eyre,Charlotte Brontë,1847,English,English,Chiltern Publishing,,Victorian / 19th century,Gothic,Romanticism,
Shirley,Charlotte Brontë,1849,English,English,,Brontë box set,Victorian / 19th century,Realism,,
Villette,Charlotte Brontë,1853,English,English,,Brontë box set,Victorian / 19th century,Realism,Gothic,
Villette,Charlotte Brontë,1853,English,English,Everyman's Library,,Victorian / 19th century,Realism,Gothic,
The Professor,Charlotte Brontë,1857,English,English,,Brontë box set,Victorian / 19th century,Realism,,
Wuthering Heights,Emily Brontë,1847,English,English,,Brontë box set,Victorian / 19th century,Gothic,Romanticism,
Wuthering Heights,Emily Brontë,1847,English,English,Chiltern Publishing,,Victorian / 19th century,Gothic,Romanticism,
Agnes Grey,Anne Brontë,1847,English,English,,Brontë box set,Victorian / 19th century,Realism,,
The Tenant of Wildfell Hall,Anne Brontë,1848,English,English,,Brontë box set,Victorian / 19th century,Realism,,
The Tenant of Wildfell Hall,Anne Brontë,1848,English,English,Chiltern Publishing,,Victorian / 19th century,Realism,,
"Gesammelte Werke: Essays, Band I",Hermann Broch,1955,German,German,,,Modernist / early 20th century,Modernism,,Essays (nonfiction)
Søvngjengerne I: Pasenow eller romantikken (1888),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
Søvngjengerne II: Esch eller anarkiet (1903),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
Søvngjengerne III: Huguenau eller sakligheten (1918),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
Søvngjengerne III: Huguenau eller sakligheten (1918),Hermann Broch,1931,German,Norwegian,Gyldendal,,Modernist / early 20th century,Modernism,,The Sleepwalkers trilogy
